Games,Playtime (Hours.Minutes),Priority?,Played:,Beaten?,Replayable?,Multiplayer?
Just Cause,8.5,FALSE,FALSE,FALSE,FALSE,FALSE
A Guidebook of Babel,9,FALSE,FALSE,FALSE,FALSE,FALSE
Knight's of Honor 2,9,FALSE,FALSE,FALSE,FALSE,TRUE
Metro 2033,9,FALSE,FALSE,FALSE,FALSE,FALSE
Syberia,9.5,FALSE,FALSE,FALSE,FALSE,FALSE
Dead Rising 4,10,FALSE,FALSE,FALSE,FALSE,TRUE
Dust: An Elysian Tail,10,FALSE,FALSE,FALSE,FALSE,FALSE
Left 4 Dead 2,10,FALSE,FALSE,FALSE,FALSE,TRUE
Metro Last Light,10,FALSE,FALSE,FALSE,FALSE,FALSE
Tales from Candlekeep,10,FALSE,FALSE,FALSE,FALSE,FALSE
Rogue Tower,10.5,FALSE,FALSE,FALSE,FALSE,FALSE
Halo Infinite,11.5,FALSE,FALSE,FALSE,FALSE,TRUE
Metal Gear Solid  ,11.5,FALSE,FALSE,FALSE,FALSE,FALSE
Wolfenstiein: The New Order,11.5,FALSE,FALSE,FALSE,FALSE,FALSE
Half Life: 2,12,FALSE,FALSE,FALSE,FALSE,TRUE
Psychonauts,12,FALSE,FALSE,FALSE,FALSE,FALSE
Batman: Arkham Origins,12.5,FALSE,FALSE,FALSE,FALSE,FALSE
Dishonored 2,12.5,FALSE,FALSE,FALSE,FALSE,FALSE
Inscryption,12.5,FALSE,FALSE,FALSE,FALSE,FALSE
Sphinx and the Cursed Mummy,12.5,FALSE,FALSE,FALSE,FALSE,FALSE
Splinter Cell ,12.5,FALSE,FALSE,FALSE,FALSE,FALSE
Metal Gear Solid 2,13,FALSE,FALSE,FALSE,FALSE,FALSE
Splinter Cell: Chaos Theory,13,FALSE,FALSE,FALSE,FALSE,FALSE
Batman: Arkham City,13.5,FALSE,FALSE,FALSE,FALSE,FALSE
The Bard's Tale,14,FALSE,FALSE,FALSE,FALSE,FALSE
Dead Rising 2,14.5,FALSE,FALSE,FALSE,FALSE,TRUE
Slime Rancher,14.5,FALSE,FALSE,FALSE,FALSE,FALSE
Dungeon Siege 3,15,FALSE,FALSE,FALSE,FALSE,TRUE
Psychonauts 2,15,FALSE,FALSE,FALSE,FALSE,FALSE
Rainbow Six Siege,15,FALSE,FALSE,FALSE,FALSE,TRUE
Warlords: Battlecry 3,15,FALSE,FALSE,FALSE,FALSE,FALSE
Steel Rising,15.5,FALSE,FALSE,FALSE,FALSE,FALSE
Metal Gear Solid 3,16,FALSE,FALSE,FALSE,FALSE,FALSE
AC: Unity,17,FALSE,FALSE,FALSE,FALSE,FALSE
Axis & Allies,17,FALSE,FALSE,FALSE,FALSE,TRUE
Batman: Arkham Knight,17,FALSE,FALSE,FALSE,FALSE,FALSE
Just Cause 2,17.5,FALSE,FALSE,FALSE,FALSE,FALSE
Yakuza Kiwami,18,FALSE,FALSE,FALSE,FALSE,TRUE
Star Wars Rebellion,19,FALSE,FALSE,FALSE,FALSE,TRUE
Splitgate,20,FALSE,FALSE,FALSE,FALSE,TRUE
Shadow of War,20.5,FALSE,FALSE,FALSE,FALSE,FALSE
Zero Escape: Zero Time Dillemma,20.5,FALSE,FALSE,FALSE,FALSE,FALSE
Miasma Chronicles,21.5,FALSE,FALSE,FALSE,FALSE,FALSE
L.A. Noire,22,FALSE,FALSE,FALSE,FALSE,FALSE
American Truck Sim,22.05,FALSE,FALSE,FALSE,FALSE,TRUE
Warhammer 40k: Battlesector,23,FALSE,FALSE,FALSE,FALSE,TRUE
Disco Elysium,23.5,FALSE,FALSE,FALSE,FALSE,FALSE
Titan Quest,26,FALSE,FALSE,FALSE,FALSE,TRUE
Dragon Age 2,26.5,FALSE,FALSE,FALSE,FALSE,FALSE
Hogwarts Legacy,26.5,FALSE,FALSE,FALSE,FALSE,FALSE
Payday 2,27,FALSE,FALSE,FALSE,FALSE,TRUE
King's Bounty 2,27.5,FALSE,FALSE,FALSE,FALSE,FALSE
Dungeon Siege,28,FALSE,FALSE,FALSE,FALSE,FALSE
Dungeon Siege 2,28,FALSE,FALSE,FALSE,FALSE,FALSE
Horizon Forbidden West,28.5,FALSE,FALSE,FALSE,FALSE,FALSE
Lords of the Realm 2,28.5,FALSE,FALSE,FALSE,FALSE,FALSE
Icewind Dale,30.5,FALSE,FALSE,FALSE,FALSE,TRUE
Yakuza 0,31.5,FALSE,FALSE,FALSE,FALSE,TRUE
Survivalist,34,FALSE,FALSE,FALSE,FALSE,TRUE
Total War: ROME,34,FALSE,FALSE,FALSE,FALSE,FALSE
Zero Escape: The Nonary Games,34,FALSE,FALSE,FALSE,FALSE,FALSE
Dark Souls 2,36,FALSE,FALSE,FALSE,FALSE,TRUE
Dragon's Dogma,36.5,FALSE,FALSE,FALSE,FALSE,FALSE
Valkyria Chronicles 4,37,FALSE,FALSE,FALSE,FALSE,FALSE
Dragon Age Origins,40.5,FALSE,FALSE,FALSE,FALSE,FALSE
Seven Kingdoms 2,41,FALSE,FALSE,FALSE,FALSE,TRUE
